entry_signal_time,entry_time,entry_price,exit_time,exit_price,qty,stop_initial,stop_final,take_profit,risk_usd,reason,fees,slippage_cost,pnl,r_multiple,bars_held,equity_at_entry
2019-09-02 16:00:00+00:00,2019-09-02 20:00:00+00:00,10176.853907064688,2019-09-10 20:00:00+00:00,10012.56517677089,0.0119,9756.912166468272,9756.912166468272,,4.997306713097359,signal,0.2402540870976434,0.3123598904962066,-2.1952899775938306,-0.43929462481064674,48,500.0
2019-09-11 20:00:00+00:00,2019-09-12 00:00:00+00:00,10171.959000674757,2019-09-12 04:00:00+00:00,10100.449971009111,0.00972,9660.027956022632,9660.027956022632,,4.975969754018658,signal,0.1970478152047672,0.25620976835007636,-0.8921155835548404,-0.1792847681267267,1,497.80471002240614
2019-09-12 08:00:00+00:00,2019-09-12 12:00:00+00:00,10182.672130520104,2019-09-16 16:00:00+00:00,10106.573371995115,0.01046,9707.847810148123,9707.847810148123,,4.966662391090933,signal,0.2122255079563092,0.27592181417137834,-1.0082185221276916,-0.2029971926290394,25,496.91259443885133
2019-10-09 12:00:00+00:00,2019-10-09 16:00:00+00:00,8563.578644191699,2019-10-15 16:00:00+00:00,8110.69165456363,0.01142,8129.390745199472,8129.390745199472,,4.9584258064912285,stop,0.19042016681178586,0.34051853173052105,-5.362389588364323,-1.0814701676778653,36,495.9043759167236
2019-10-20 16:00:00+00:00,2019-10-20 20:00:00+00:00,8245.706785120832,2019-10-22 20:00:00+00:00,8157.288130858844,0.0158,7935.271004050463,7935.271004050463,,4.9048853409118385,signal,0.25916731967247897,0.3369927373394112,-1.656182057011904,-0.33765968863688317,12,490.5419863283593
2019-10-25 12:00:00+00:00,2019-10-25 16:00:00+00:00,8273.692247155303,2019-11-08 16:00:00+00:00,8809.29263502782,0.00973,7771.658802278676,7771.658802278676,,4.884785418649572,signal,0.1662174429036418,0.21609952600040586,5.04517433109595,1.0328343824140218,84,488.8858042713474
2019-12-06 16:00:00+00:00,2019-12-06 20:00:00+00:00,7442.7536576269795,2019-12-10 00:00:00+00:00,7329.098800903944,0.01088,6989.147864683895,6989.147864683895,,4.935231027220762,signal,0.16071775474881647,0.20894884114663,-1.3972825958954473,-0.28312404995603957,19,493.93097860244336
2019-12-10 00:00:00+00:00,2019-12-10 04:00:00+00:00,7393.340011189005,2019-12-10 08:00:00+00:00,7341.611936565253,0.01505,7066.220400702134,7066.220400702134,,4.923150137827411,signal,0.22176102681370158,0.28832902308747255,-1.0002685499011648,-0.20317652760892313,1,492.5336960065479
2019-12-18 20:00:00+00:00,2019-12-19 00:00:00+00:00,7287.291447826906,2019-12-19 04:00:00+00:00,7149.632858417367,0.01037,6813.736233879822,6813.736233879822,,4.910767568631261,signal,0.14971090505575313,0.1946302721769136,-1.5772304772326748,-0.3211779941098462,1,491.5334274566468
2019-12-22 16:00:00+00:00,2019-12-22 20:00:00+00:00,7409.0799874205695,2019-12-27 08:00:00+00:00,7102.225971873892,0.01686,7118.601171875595,7118.601171875595,,4.897472830088259,stop,0.24466061847370463,0.43827885993951377,-5.41821932059068,-1.1063296333780859,27,489.95619697941413
2019-12-27 12:00:00+00:00,2019-12-27 16:00:00+00:00,7247.160098393422,2019-12-31 20:00:00+00:00,7164.421922859299,0.01431,6908.6056233333875,6908.6056233333875,,4.844714538109096,signal,0.20622973872412645,0.26814329189330016,-1.3902130306174172,-0.2869545810556716,25,484.5379776588234
2019-12-31 20:00:00+00:00,2020-01-01 00:00:00+00:00,7204.600829864501,2020-01-02 04:00:00+00:00,7119.978110322991,0.02037,6967.506211266108,6967.506211266108,,4.829617380849268,signal,0.2917916730116192,0.3795484970605708,-2.0155564700721698,-0.41733253612685617,7,483.147764628206
2020-01-03 04:00:00+00:00,2020-01-03 08:00:00+00:00,7211.643658307217,2020-01-23 12:00:00+00:00,8412.02903303882,0.01669,6923.377800464794,6923.377800464794,,4.811157167390046,signal,0.2607590972185654,0.3390510957295513,19.77367280705188,4.109961932043615,121,481.13220815813384
2020-01-24 12:00:00+00:00,2020-01-24 16:00:00+00:00,8518.861279194667,2020-01-25 00:00:00+00:00,8428.01691810939,0.01326,8141.167835164527,8141.167835164527,,5.008215067839659,signal,0.2247156048962518,0.29217562799078434,-1.4293118328870236,-0.2853934612483746,2,500.9058809651857
2020-01-26 16:00:00+00:00,2020-01-26 20:00:00+00:00,8578.128525512617,2020-02-16 20:00:00+00:00,9733.23951337532,0.01587,8263.557836358283,8263.557836358283,,4.992236836879285,signal,0.2906014107771515,0.37784902261890385,18.04100996660395,3.613812917153512,125,499.47656913229866
2020-02-16 20:00:00+00:00,2020-02-17 00:00:00+00:00,9923.584883965135,2020-02-17 08:00:00+00:00,9740.330067670897,0.00985,9398.458549491443,9398.458549491443,,5.172494394565866,signal,0.19368956227361492,0.251813440498244,-1.9987495027718722,-0.38641888232333793,2,517.5175790989026
2020-02-18 12:00:00+00:00,2020-02-18 16:00:00+00:00,9843.470604718435,2020-02-20 00:00:00+00:00,9582.176612053963,0.0097,9312.532988469358,9312.532988469358,,5.150094877616046,signal,0.18842877800269225,0.2449637288453716,-2.7229805068480744,-0.5287243383967577,6,515.5188295961308
2020-02-23 20:00:00+00:00,2020-02-24 00:00:00+00:00,9949.319798977549,2020-02-24 04:00:00+00:00,9740.959302982836,0.01316,9559.712998934336,9559.712998934336,,5.127225488568681,signal,0.2591240729817987,0.33690252729042475,-3.001148200272212,-0.5853357155762646,1,512.7958490892827
2020-03-23 20:00:00+00:00,2020-03-24 00:00:00+00:00,6473.6549797862635,2020-03-29 20:00:00+00:00,5898.71153089591,0.00553,5552.921061578005,5552.921061578005,,5.091658567691669,signal,0.06841918680407243,0.08894147236365649,-3.2478564591677284,-0.6378778969541475,35,509.79470088901047
2020-03-30 00:00:00+00:00,2020-03-30 04:00:00+00:00,6017.09251361852,2020-04-13 04:00:00+00:00,6666.851574166964,0.00985,5502.910486835898,5502.910486835898,,5.0646929638088185,signal,0.12493684926468701,0.16243575359781948,6.275189897137487,1.2390069727777406,84,506.5468444298428
2020-04-13 08:00:00+00:00,2020-04-13 12:00:00+00:00,6779.812846896168,2020-04-15 12:00:00+00:00,6774.041706297766,0.01126,6324.686068778408,6324.686068778408,,5.124727521605969,signal,0.15261640226896367,0.1984140431379989,-0.21759944540697518,-0.042460685858822914,12,512.8220343269802
2020-04-16 04:00:00+00:00,2020-04-16 08:00:00+00:00,6902.20151461798,2020-04-20 12:00:00+00:00,6956.364475146696,0.01142,6453.5265581792455,6453.5265581792455,,5.123868002530346,signal,0.15826482360311261,0.20575459076206415,0.460276185634811,0.08982982883390253,25,512.6044348815732
2020-04-20 12:00:00+00:00,2020-04-20 16:00:00+00:00,7080.593374165951,2020-04-20 20:00:00+00:00,6760.140077272987,0.01364,6704.503209474477,6704.503209474477,,5.129869846391696,signal,0.1887876042776271,0.2454285696200328,-4.5597705738976515,-0.8888667179548333,1,513.064711067208
2020-04-22 12:00:00+00:00,2020-04-22 16:00:00+00:00,7121.3962765758415,2020-05-10 20:00:00+00:00,8489.608748943429,0.01369,6749.960783907297,6749.960783907297,,5.084951894632376,signal,0.21371465879935883,0.277873153287737,18.517114087912915,3.6415514780895752,108,508.50494049331036
2020-05-10 20:00:00+00:00,2020-05-11 00:00:00+00:00,8734.109836196782,2020-05-11 08:00:00+00:00,8653.055909605015,0.00566,7804.1241343806505,7804.1241343806505,,5.263719072279304,signal,0.09841135812123818,0.12793822450939635,-0.557176582630639,-0.10585226433624419,2,527.0220545812233
2020-05-11 08:00:00+00:00,2020-05-11 12:00:00+00:00,8937.774203857542,2020-05-12 00:00:00+00:00,8550.909070207348,0.00581,8032.655848576915,8032.655848576915,,5.258737644180441,signal,0.10160924982231702,0.1320911265076286,-2.3492956763299446,-0.4467413731753251,3,526.4648779985927
2020-05-12 08:00:00+00:00,2020-05-12 12:00:00+00:00,8812.351516359593,2020-05-21 16:00:00+00:00,9070.692607002627,0.00559,7876.303243142794,7876.303243142794,,5.232509847281909,signal,0.09996621664959483,0.1299614033054381,1.3441604800449696,0.2568863737051943,55,524.1155823222628
2020-05-28 08:00:00+00:00,2020-05-28 12:00:00+00:00,9279.268577330617,2020-06-11 16:00:00+00:00,9509.16151597224,0.012,8841.599730916945,8841.599730916945,,5.252026156964053,signal,0.22546116111963432,0.2931247363005314,2.5332541025798605,0.4823384398458926,85,525.4597428023077
2020-06-22 16:00:00+00:00,2020-06-22 20:00:00+00:00,9575.943812997704,2020-06-24 12:00:00+00:00,9319.188219930642,0.0181,9284.313262424377,9284.313262424377,,5.278512965377225,signal,0.3420018897960031,0.4446372345138196,-4.9892781243098625,-0.9452052418996583,10,527.9929969048876
2020-07-06 12:00:00+00:00,2020-07-06 16:00:00+00:00,9317.11793486353,2020-07-09 16:00:00+00:00,9196.6077379469,0.02013,9057.37524894411,9057.37524894411,,5.2286202675579405,signal,0.372681297793674,0.4845330639317489,-2.798551561725418,-0.5352371024320913,18,523.0037187805777
2020-07-09 20:00:00+00:00,2020-07-10 00:00:00+00:00,9244.426306907979,2020-07-10 08:00:00+00:00,9143.086634443232,0.01952,8978.027593026743,8978.027593026743,,5.2001028949617165,signal,0.35892425261517563,0.466716806511844,-2.337074659127012,-0.4494285413835485,2,520.2051672188524
2020-07-10 12:00:00+00:00,2020-07-10 16:00:00+00:00,9257.932478970524,2020-07-14 08:00:00+00:00,9169.26196889413,0.02039,9004.050226076888,9004.050226076888,,5.176659136501257,signal,0.3757304947919603,0.4885548004576882,-2.1837221952496293,-0.4218400589391596,22,517.8680925597253
2020-07-14 08:00:00+00:00,2020-07-14 12:00:00+00:00,9244.814539895451,2020-07-15 20:00:00+00:00,9173.515931633103,0.02307,9021.318881014977,9021.318881014977,,5.156044850372553,signal,0.4249108839781638,0.5524943926123681,-2.069769776590533,-0.40142586743421765,8,515.6843703644756
